time,us_aqi,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,carbon_monoxide,temperature,humidity,pressure,wind_speed
2024-09-05 00:00:00,104,35.0,50.5,15.0,9.2,87.0,533.0,0.0,0.0,0.0,0.0
2024-09-05 01:00:00,102,25.1,36.9,15.3,9.0,95.0,495.0,0.0,0.0,0.0,0.0
2024-09-05 02:00:00,99,20.4,30.0,15.6,8.9,106.0,443.0,0.0,0.0,0.0,0.0
2024-09-05 03:00:00,96,18.8,27.6,15.1,9.3,117.0,402.0,0.0,0.0,0.0,0.0
2024-09-05 04:00:00,94,17.5,25.6,13.2,11.0,129.0,386.0,0.0,0.0,0.0,0.0
2024-09-05 05:00:00,92,19.0,27.8,10.7,13.3,141.0,382.0,0.0,0.0,0.0,0.0
2024-09-05 06:00:00,91,23.8,35.3,8.5,14.7,152.0,377.0,0.0,0.0,0.0,0.0
2024-09-05 07:00:00,90,21.9,32.4,6.9,14.2,163.0,365.0,0.0,0.0,0.0,0.0
2024-09-05 08:00:00,90,22.4,33.2,5.8,12.7,174.0,352.0,0.0,0.0,0.0,0.0
2024-09-05 09:00:00,96,22.3,33.3,5.9,11.6,179.0,349.0,0.0,0.0,0.0,0.0
2024-09-05 10:00:00,113,22.2,33.3,6.2,11.4,180.0,340.0,0.0,0.0,0.0,0.0
2024-09-05 11:00:00,129,24.3,36.1,7.7,11.6,175.0,340.0,0.0,0.0,0.0,0.0
2024-09-05 12:00:00,142,26.3,39.2,13.5,11.4,160.0,395.0,0.0,0.0,0.0,0.0
2024-09-05 13:00:00,148,33.9,49.8,41.9,11.1,115.0,768.0,0.0,0.0,0.0,0.0
2024-09-05 14:00:00,143,43.8,63.8,80.7,10.7,54.0,1279.0,0.0,0.0,0.0,0.0
2024-09-05 15:00:00,122,45.8,66.4,107.3,10.3,10.0,1632.0,0.0,0.0,0.0,0.0
2024-09-05 16:00:00,91,46.8,67.8,111.6,10.0,0.0,1692.0,0.0,0.0,0.0,0.0
2024-09-05 17:00:00,91,47.1,68.5,103.7,9.7,3.0,1594.0,0.0,0.0,0.0,0.0
